ts_code,name,score,momentum,price
600186.SH,莲花控股,70,0.631,11.4
000007.SZ,全新好,70,0.291,15.97
600130.SH,波导股份,70,0.184,5.08
600150.SH,中国船舶,70,0.35,41.18
000551.SZ,创元科技,70,0.291,16.42
000546.SZ,金圆股份,70,0.295,7.82
000539.SZ,粤电力Ａ,70,0.316,7.03
000553.SZ,安道麦A,70,0.242,7.5
000404.SZ,长虹华意,70,0.259,8.66
600099.SH,林海股份,70,0.099,11.66
000062.SZ,深圳华强,70,0.501,36.88
000066.SZ,中国长城,70,0.536,21.8
000833.SZ,粤桂股份,70,0.264,30.0
000848.SZ,承德露露,70,0.134,8.98
000792.SZ,盐湖股份,70,0.114,40.4
000811.SZ,冰轮环境,70,0.615,27.04
000790.SZ,华神科技,70,0.112,4.48
000042.SZ,中洲控股,70,0.127,9.76
600156.SH,华升股份,70,0.56,11.2
000782.SZ,恒申新材,70,0.447,7.51
